state,cpi_combined,cpi_rural,cpi_urban,base_year,source_month
Andhra Pradesh,197.2,199.8,194.2,2012,2024-10
Arunachal Pradesh,196.5,198.2,194.1,2012,2024-10
Assam,198.1,200.5,194.8,2012,2024-10
Bihar,197.8,200.2,194.5,2012,2024-10
Chhattisgarh,196.2,198.8,193.1,2012,2024-10
Chandigarh,195.8,196.5,195.2,2012,2024-10
Dadra and Nagar Haveli and Daman and Diu,196.5,198.0,194.5,2012,2024-10
Delhi,195.2,196.0,194.8,2012,2024-10
Goa,196.8,198.5,195.2,2012,2024-10
Gujarat,196.5,199.2,193.5,2012,2024-10
Haryana,196.2,198.8,193.2,2012,2024-10
Himachal Pradesh,197.0,199.5,193.8,2012,2024-10
Jammu and Kashmir,197.5,200.0,194.5,2012,2024-10
Jharkhand,197.2,199.8,193.8,2012,2024-10
Karnataka,196.8,199.2,194.2,2012,2024-10
Kerala,197.8,200.2,195.0,2012,2024-10
Ladakh,196.5,198.5,194.0,2012,2024-10
Lakshadweep,196.8,198.2,195.0,2012,2024-10
Madhya Pradesh,197.5,200.2,194.0,2012,2024-10
Maharashtra,196.5,198.8,194.0,2012,2024-10
Manipur,197.2,199.5,194.2,2012,2024-10
Meghalaya,197.0,199.2,194.0,2012,2024-10
Mizoram,196.8,198.8,194.2,2012,2024-10
Nagaland,196.5,198.5,193.8,2012,2024-10
Odisha,197.8,200.5,194.2,2012,2024-10
Puducherry,196.2,197.5,195.0,2012,2024-10
Punjab,196.8,199.2,194.0,2012,2024-10
Rajasthan,197.2,199.8,193.8,2012,2024-10
Sikkim,196.5,198.2,194.2,2012,2024-10
Tamil Nadu,196.5,198.8,193.8,2012,2024-10
Telangana,196.2,198.5,193.5,2012,2024-10
Tripura,197.0,199.5,193.8,2012,2024-10
Uttar Pradesh,197.5,200.2,194.2,2012,2024-10
Uttarakhand,196.8,199.2,193.8,2012,2024-10
West Bengal,197.2,199.8,194.0,2012,2024-10
Andaman and Nicobar Islands,196.5,198.0,194.5,2012,2024-10
