state,per_capita_nsdp,income_bucket,source_year
Andhra Pradesh,270295,Medium,2023-24
Arunachal Pradesh,239045,Medium,2023-24
Assam,158807,Low,2023-24
Bihar,66828,Low,2023-24
Chhattisgarh,148922,Low,2023-24
Chandigarh,505137,High,2023-24
Dadra and Nagar Haveli and Daman and Diu,250000,Medium,2023-24
Delhi,512131,High,2023-24
Goa,674684,High,2023-24
Gujarat,336875,High,2023-24
Haryana,361993,High,2023-24
Himachal Pradesh,276943,Medium,2023-24
Jammu and Kashmir,192898,Low,2023-24
Jharkhand,115960,Low,2023-24
Karnataka,368085,High,2023-24
Kerala,317723,High,2023-24
Ladakh,200000,Low,2023-24
Lakshadweep,280000,Medium,2023-24
Madhya Pradesh,156381,Low,2023-24
Maharashtra,319474,High,2023-24
Manipur,125937,Low,2023-24
Meghalaya,156326,Low,2023-24
Mizoram,275633,Medium,2023-24
Nagaland,179379,Low,2023-24
Odisha,179363,Low,2023-24
Puducherry,287354,Medium,2023-24
Punjab,227950,Medium,2023-24
Rajasthan,187454,Low,2023-24
Sikkim,707181,High,2023-24
Tamil Nadu,353483,High,2023-24
Telangana,393385,High,2023-24
Tripura,198379,Low,2023-24
Uttar Pradesh,107468,Low,2023-24
Uttarakhand,295751,Medium,2023-24
West Bengal,181184,Low,2023-24
Andaman and Nicobar Islands,310143,High,2023-24
