state,internet_penetration_pct,source_year
Andhra Pradesh,55,2024
Arunachal Pradesh,48,2024
Assam,52,2024
Bihar,43,2024
Chhattisgarh,45,2024
Chandigarh,75,2024
Dadra and Nagar Haveli and Daman and Diu,55,2024
Delhi,72,2024
Goa,71,2024
Gujarat,58,2024
Haryana,62,2024
Himachal Pradesh,65,2024
Jammu and Kashmir,52,2024
Jharkhand,50,2024
Karnataka,64,2024
Kerala,72,2024
Ladakh,55,2024
Lakshadweep,68,2024
Madhya Pradesh,48,2024
Maharashtra,70,2024
Manipur,54,2024
Meghalaya,52,2024
Mizoram,60,2024
Nagaland,55,2024
Odisha,50,2024
Puducherry,68,2024
Punjab,60,2024
Rajasthan,52,2024
Sikkim,62,2024
Tamil Nadu,66,2024
Telangana,62,2024
Tripura,58,2024
Uttar Pradesh,46,2024
Uttarakhand,58,2024
West Bengal,56,2024
Andaman and Nicobar Islands,62,2024
