state,median_age_years,source_year
Andhra Pradesh,32.5,2021
Arunachal Pradesh,24.5,2021
Assam,26.8,2021
Bihar,22.0,2021
Chhattisgarh,26.2,2021
Chandigarh,31.0,2021
Dadra and Nagar Haveli and Daman and Diu,28.5,2021
Delhi,30.0,2021
Goa,37.0,2021
Gujarat,28.5,2021
Haryana,28.2,2021
Himachal Pradesh,31.5,2021
Jammu and Kashmir,26.5,2021
Jharkhand,25.3,2021
Karnataka,31.5,2021
Kerala,35.1,2021
Ladakh,28.0,2021
Lakshadweep,30.5,2021
Madhya Pradesh,26.0,2021
Maharashtra,31.3,2021
Manipur,27.5,2021
Meghalaya,24.8,2021
Mizoram,26.2,2021
Nagaland,25.5,2021
Odisha,30.2,2021
Puducherry,34.0,2021
Punjab,32.0,2021
Rajasthan,25.7,2021
Sikkim,28.5,2021
Tamil Nadu,34.2,2021
Telangana,31.2,2021
Tripura,28.0,2021
Uttar Pradesh,24.7,2021
Uttarakhand,28.5,2021
West Bengal,31.5,2021
Andaman and Nicobar Islands,30.0,2021
