state,smartphone_penetration_pct,source_year
Andhra Pradesh,62,2024
Arunachal Pradesh,55,2024
Assam,59,2024
Bihar,50,2024
Chhattisgarh,52,2024
Chandigarh,82,2024
Dadra and Nagar Haveli and Daman and Diu,62,2024
Delhi,79,2024
Goa,78,2024
Gujarat,65,2024
Haryana,69,2024
Himachal Pradesh,72,2024
Jammu and Kashmir,59,2024
Jharkhand,57,2024
Karnataka,71,2024
Kerala,79,2024
Ladakh,62,2024
Lakshadweep,75,2024
Madhya Pradesh,55,2024
Maharashtra,77,2024
Manipur,61,2024
Meghalaya,59,2024
Mizoram,67,2024
Nagaland,62,2024
Odisha,57,2024
Puducherry,75,2024
Punjab,67,2024
Rajasthan,59,2024
Sikkim,69,2024
Tamil Nadu,73,2024
Telangana,69,2024
Tripura,65,2024
Uttar Pradesh,53,2024
Uttarakhand,65,2024
West Bengal,63,2024
Andaman and Nicobar Islands,69,2024
