"pincode","state_original","major_city","latitude","longitude","region","coastal_city","distance_to_state_capital","city_tier","is_metro_city","is_smart_city","is_state_capital","is_union_territory_capital","literacy_rate","median_age_estimate","consumer_price_index","income_bucket","has_airport","has_international_airport","has_metro_rail","has_seaport","major_railway_station","internet_penetration_state","smartphone_penetration_state","digital_payment_index","is_it_hub","is_manufacturing_hub","is_financial_center","is_textile_hub","is_education_hub","is_tourist_city","is_coastal","district_population_numeric","district_population","sex_ratio"
"504273","TS","KUMURAM BHEEM ASIFABAD","19.3638689","79.5376658","S","f","247.7","T3","f","f","f","f","66.54","31.2","196.2","H","f","f","f","f","f","62.0","69.0","100.0","f","f","f","f","f","f","f","204515","VS","994.0"
"504299","TS","KUMURAM BHEEM ASIFABAD","19.5098236","79.6732105","S","f","268.69","T3","f","f","f","f","66.54","31.2","196.2","H","f","f","f","f","f","62.0","69.0","100.0","f","f","f","f","f","f","f","399957","VS","974.0"
"504296","TS","KUMURAM BHEEM ASIFABAD","19.3581456","79.4823338","S","f","244.53","T3","f","f","f","f","66.54","31.2","196.2","H","f","f","f","f","f","62.0","69.0","100.0","f","f","f","f","f","f","f","399957","VS","974.0"
"504209","TS","MANCHERIAL","18.872924","79.445187","S","f","195.39","T3","f","f","f","f","66.54","31.2","196.2","H","f","f","f","f","f","62.0","69.0","100.0","f","f","f","f","f","f","f","204515","VS","994.0"
"504272","TS","MANCHERIAL","19.1259514","79.4626538","S","f","220.63","T3","f","f","f","f","66.54","31.2","196.2","H","f","f","f","f","f","62.0","69.0","100.0","f","f","f","f","f","f","f","204515","VS","994.0"
"504297","TS","KUMURAM BHEEM ASIFABAD","19.1533493","79.6634922","S","f","234.01","T3","f","f","f","f","66.54","31.2","196.2","H","f","f","f","f","f","62.0","69.0","100.0","f","f","f","f","f","f","f","399957","VS","974.0"
"504295","TS","KUMURAM BHEEM ASIFABAD","19.531181","79.265143","S","f","253.48","T3","f","f","f","f","66.54","31.2","196.2","H","f","f","f","f","f","62.0","69.0","100.0","f","f","f","f","f","f","f","399957","VS","974.0"
"506371","TS","HANUMAKONDA","18.0929039","79.5693549","S","f","140.86","T3","f","f","f","f","66.54","31.2","196.2","H","f","f","f","f","f","62.0","69.0","100.0","f","f","f","f","f","f","f","2368961","L","981.0"
"505415","TS","KARIMNAGAR","18.498227","79.151216","S","f","143.71","T3","f","f","f","f","66.54","31.2","196.2","H","f","f","f","f","f","62.0","69.0","100.0","f","f","f","f","f","f","f","534402","S","984.0"
"505304","TS","RAJANNA SIRCILLA","18.354149","78.581699","S","f","108.96","T3","f","f","f","f","66.54","31.2","196.2","H","f","f","f","f","f","62.0","69.0","100.0","f","f","f","f","f","f","f","3255303","VL","966.0"
