#,pincode,state_original,major_city,latitude,longitude,region,coastal_city,distance_to_state_capital,city_tier,is_metro_city,is_smart_city,is_state_capital,is_union_territory_capital,literacy_rate,median_age_estimate,consumer_price_index,income_bucket,has_airport,has_international_airport,has_metro_rail,has_seaport,major_railway_station,internet_penetration_state,smartphone_penetration_state,digital_payment_index,is_it_hub,is_manufacturing_hub,is_financial_center,is_textile_hub,is_education_hub,is_tourist_city,is_coastal,district_population_numeric,district_population,sex_ratio
1,15301,PA,Green Hills,40.164113284535446,-80.25303248178975,,False,286.064755261537,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
2,15658,PA,Laurel Mountain,40.254665487788934,-79.22217481405052,,False,198.17026662153654,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
3,15601,PA,Norvelt,40.313967647018536,-79.53643689722752,,False,224.76920187968057,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
4,17720,,,41.18046129180413,-77.20503038469745,,False,,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
5,18843,,,41.80446325969143,-75.89415721082455,,False,,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
6,30114,GA,Woodstock,34.244328504472364,-84.53930029893318,,False,56.81668233109966,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
7,30281,GA,Stockbridge,33.5633934538784,-84.19610566526536,,False,27.228676436044267,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
8,31044,GA,Jeffersonville,32.66857449573388,-83.37611874953653,,False,152.62622610648702,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
9,31419,GA,Richmond Hill,31.984791459102315,-81.238667412513,,False,353.5213562632731,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
10,30137,GA,Emerson,34.11658405643593,-84.76569768194457,,False,53.71069852019416,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
11,30184,GA,Cartersville,34.260419939454174,-84.71603270894826,,False,64.4065851359325,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
12,31519,GA,Broxton,31.676412725024306,-82.8694597351194,,False,270.7242160825676,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
13,30427,GA,Mendes,31.92270848281693,-81.96621487884963,,False,304.01162089037405,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
14,30824,GA,Thomson,33.51586678896825,-82.51467269353347,,False,175.35998924566167,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
15,89421,NV,Fort McDermitt,42.04484926139972,-117.94723608619866,,False,355.28056596713134,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
16,48225,MI,Detroit,42.438910206169055,-82.92965288966442,,False,137.04893417982655,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
17,08072,NJ,Quinton,39.544945585565024,-75.41258144283069,,False,94.08120101366589,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
18,07821,NJ,Allamuchy,40.96461549994733,-74.74806556456728,,False,83.12107553631405,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
19,08820,NJ,Metuchen,40.57725232237308,-74.36597914040188,,False,51.21095543957654,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
20,63556,MO,Milan,40.182507126443475,-93.11722475793563,,False,196.11392801432865,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
21,63456,MO,Monroe City,39.653639037168105,-91.72691665044474,,False,125.79510920044682,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
22,98563,WA,Cosmopolis,47.20639856351676,-123.60824707028186,,False,56.71764280211315,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
23,64083,MO,Peculiar,38.800818938572,-94.44829557937285,,False,198.99873039057545,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
24,65667,MO,Hartville,37.30573733261334,-92.51435085782045,,False,144.45055933300623,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25,65041,MO,Hermann,38.64088276068831,-91.47711635000199,,False,60.92837101433864,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
26,59010,,,45.97503361815142,-107.30368304407506,,False,,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
27,59432,MT,Rockport Colony,48.14593735187156,-112.5885232955868,,False,177.98751578958345,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
28,59316,,,45.33725827586276,-105.04973325672029,,False,,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
29,59812,MT,Missoula,46.8612088959812,-113.98442285209015,,False,151.3315201686546,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
30,37705,TN,Clinton,36.22862286921178,-84.00947333626165,,False,248.85589806110264,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
