country_code,pincode,state_original,major_city,latitude,longitude,region,coastal_city,distance_to_state_capital,city_tier,is_metro_city,is_smart_city,is_state_capital,is_union_territory_capital,literacy_rate,median_age_estimate,consumer_price_index,income_bucket,has_airport,has_international_airport,has_metro_rail,has_seaport,major_railway_station,internet_penetration_state,smartphone_penetration_state,digital_payment_index,is_it_hub,is_manufacturing_hub,is_financial_center,is_textile_hub,is_education_hub,is_tourist_city,is_coastal,district_population_numeric,district_population,sex_ratio
USA,01001,MA,Longmeadow,42.06264701758595,-72.62518514563448,NE,f,133.1680511700308,T3,t,f,f,f,21.433737844571247,46.2,315.605,M,f,f,f,f,f,92.29768786127168,88.17919075144509,85.28179190751445,f,f,f,f,f,f,f,16234,VS,984.596577017115
USA,01002,MA,Amherst Town,42.37631996164381,-72.46463267907755,NE,f,115.49943551296904,T3,t,f,f,f,23.25665509259259,27.0,315.605,M,f,f,f,f,f,93.61434108527132,93.39147286821704,87.6327519379845,f,f,f,f,t,f,f,162028,VS,1007.9189827152971
USA,01005,MA,Barre,42.42116105867914,-72.1065468198655,NE,f,86.30466174031169,T2,t,f,f,f,18.30448065173116,43.4,315.605,H,f,f,f,f,f,93.23671497584542,78.74396135265701,86.85507246376812,f,f,f,f,f,f,f,867788,M,1045.5974842767296
USA,01007,MA,Palmer Town,42.28163036173047,-72.40008786569935,NE,f,110.61057258063973,T2,t,f,f,f,22.36661480735792,43.8,315.605,H,f,f,f,f,f,95.06514657980456,91.1400651465798,91.92508143322476,f,f,f,f,f,f,f,462815,S,1117.4127986816807
USA,01008,MA,Blandford,42.1823373240367,-72.958193992537,NE,f,157.51711285876954,T2,t,f,f,f,19.40018744142456,50.7,315.605,M,f,f,f,f,f,90.84628670120898,87.56476683937824,84.48618307426597,f,f,f,f,f,f,f,462815,S,871.6502115655852
USA,01009,MA,Palmer Town,42.211338733950384,-72.34186519871723,NE,f,106.82647217618276,T2,t,f,f,f,27.08333333333333,31.3,315.605,M,f,f,f,f,f,96.7032967032967,86.81318681318682,86.56593406593407,f,f,f,f,f,f,f,462815,S,1290.5982905982905
USA,01010,MA,Palmer Town,42.12904099829892,-72.20596678589152,NE,f,97.85370289236756,T2,t,f,f,f,28.69596803487105,43.7,315.605,H,f,f,f,f,f,95.2482269503546,92.19858156028369,92.36879432624112,f,f,f,f,f,f,f,462815,S,920.6842923794711
USA,01011,MA,Huntington,42.30234754455992,-72.96448713629398,NE,f,156.7721788976217,T2,t,f,f,f,11.670480549199084,46.0,315.605,M,f,f,f,f,f,87.20173535791757,79.39262472885032,80.16811279826464,f,f,f,f,f,f,f,462815,S,1039.9305555555557
USA,01013,MA,Springfield,42.160592073780776,-72.60787921064228,NE,f,129.387265944511,T2,t,f,f,f,12.923876529124676,38.9,315.605,M,f,f,f,f,t,86.7577563180604,85.93589480172591,82.28066570782823,f,f,f,f,f,f,f,462815,S,1137.5195079408793
USA,01020,MA,Springfield,42.17617304250325,-72.56537866916901,NE,f,125.63436551457472,T2,t,f,f,f,14.601809152181623,45.1,315.605,M,f,f,f,f,t,90.15762330209922,83.44592140626135,82.76912181303116,f,f,f,f,f,f,f,462815,S,1073.9034786195518
USA,01022,MA,Chicopee,42.19721156579724,-72.5424916739001,NE,f,123.39160463018712,T2,t,f,f,f,15.594541910331383,55.2,315.605,M,f,f,f,f,f,79.73997833152762,82.34019501625134,78.21505958829901,f,f,f,f,f,f,f,462815,S,1445.6233421750665
USA,01027,MA,Holyoke,42.29504935093146,-72.74301948164465,NE,f,138.6332910718253,T2,t,f,f,f,20.744802376056654,46.3,315.605,M,f,f,f,f,f,90.89811685176244,86.35924674070498,84.08498309995171,f,f,f,f,f,f,f,462815,S,1054.5053925547954
USA,01028,MA,Longmeadow,42.0596634876655,-72.49897682354462,NE,f,123.2191028460198,T3,t,f,f,f,26.94063926940639,43.7,315.605,H,f,f,f,f,f,90.89988181664695,88.29984804997467,89.26489954414993,f,f,f,f,f,f,f,16321,VS,969.9456849728424
USA,01030,MA,Agawam Town,42.06867922401321,-72.67966451778746,NE,f,137.35266583640515,T3,t,f,f,f,17.83638320775027,48.7,315.605,M,f,f,f,f,f,93.437438228899,87.70508005534691,85.57175331093102,f,f,f,f,f,f,f,12305,VS,1063.9047299563904
USA,01033,MA,Chicopee,42.2608204106866,-72.50360776097318,NE,f,119.30803445032512,T2,t,f,f,f,23.37411461687057,46.3,315.605,H,f,f,f,f,f,97.414907367514,84.83412322274881,90.65790607496768,f,f,f,f,f,f,f,462815,S,920.4042956411877
USA,01034,CT,North Granby,42.08260163017851,-72.95611174692674,NE,f,42.2845262730029,T3,t,f,f,f,21.08167770419426,50.4,315.605,M,f,f,f,f,f,86.19979402677652,82.80123583934088,80.96035015447991,f,f,f,f,f,f,f,2332,VS,867.0936749399518
USA,01035,MA,Holyoke,42.35562286919564,-72.56921822276162,NE,f,124.098604616531,T2,t,f,f,f,32.48423707440101,45.8,315.605,H,f,f,f,f,f,95.35495179666958,86.50306748466258,90.41805433829973,f,f,f,f,f,f,f,462815,S,1117.31843575419
