#,pincode,state_original,major_city,latitude,longitude,region,coastal_city,distance_to_state_capital,city_tier,is_metro_city,is_smart_city,is_state_capital,is_union_territory_capital,literacy_rate,median_age_estimate,consumer_price_index,income_bucket,has_airport,has_international_airport,has_metro_rail,has_seaport,major_railway_station,internet_penetration_state,smartphone_penetration_state,digital_payment_index,is_it_hub,is_manufacturing_hub,is_financial_center,is_textile_hub,is_education_hub,is_tourist_city,is_coastal,district_population_numeric,district_population,sex_ratio,missing_columns
1,17720,,,41.18046129180413,-77.20503038469745,UNKNOWN,False,,T3,True,False,False,False,14.659685863874344,48.0,315.605,M,False,False,False,False,False,85.0,80.0,79.5,False,False,False,False,False,False,False,113489.0,VS,81.15942028985508,state_original;major_city;region;distance_to_state_capital
2,18843,,,41.80446325969143,-75.89415721082455,UNKNOWN,False,,T3,False,False,False,False,22.525597269624573,62.4,315.605,,False,False,False,False,False,84.82758620689656,91.72413793103448,66.0344827586207,False,False,False,False,False,False,False,38219.0,VS,130.0,state_original;major_city;region;distance_to_state_capital;income_bucket
3,59010,,,45.97503361815142,-107.30368304407506,UNKNOWN,False,,T3,True,False,False,False,35.44303797468354,39.7,315.605,M,False,False,False,False,False,88.76404494382022,88.76404494382022,84.07303370786516,False,False,False,False,False,False,False,12891.0,VS,131.57894736842107,state_original;major_city;region;distance_to_state_capital
4,59316,,,45.33725827586276,-105.04973325672027,UNKNOWN,False,,T3,False,False,False,False,26.666666666666668,74.2,315.605,L,False,False,False,False,False,100.0,54.54545454545454,62.090909090909086,False,False,False,False,False,False,False,1815.0,VS,275.0,state_original;major_city;region;distance_to_state_capital
5,59812,MT,Missoula,46.8612088959812,-113.98442285209016,W,False,151.3315201686546,T3,True,False,False,False,6.25,19.1,315.605,,True,False,False,False,False,,100.0,45.0,False,False,False,False,True,True,False,120672.0,VS,71.40783744557329,income_bucket;internet_penetration_state
6,42323,KY,Beechmont,37.17405620203786,-87.03261081647864,S,False,221.6662085679484,T3,True,False,False,False,,30.1,315.605,M,False,False,False,False,False,81.53846153846153,83.84615384615385,79.46153846153845,False,False,False,False,False,False,False,30591.0,VS,132.15258855585833,literacy_rate
7,52252,,,42.19712107467807,-91.22726950561668,UNKNOWN,False,,T3,True,False,False,False,,-666666666.0,315.605,,False,False,False,False,False,100.0,100.0,85.0,False,False,False,False,False,False,False,20896.0,VS,85.71428571428571,state_original;major_city;region;distance_to_state_capital;literacy_rate;income_bucket
8,85329,AZ,Avondale,33.43171145402176,-112.2965015312956,W,False,20.72870455782539,T1,True,False,False,False,,37.7,315.605,L,False,False,False,False,False,54.4179523141655,70.40673211781207,59.40953716690042,False,False,False,False,False,False,False,4559748.0,L,95.65595134665509,literacy_rate
9,47306,IN,Muncie,40.20535233627604,-85.40721466193536,MW,False,80.33138123180684,T3,True,False,False,False,67.74193548387096,19.4,315.605,,False,False,False,False,False,,,10.0,False,False,False,False,False,False,False,112280.0,VS,47.81931464174455,income_bucket;internet_penetration_state;smartphone_penetration_state
10,24483,,,37.814842955776925,-79.22559384682252,UNKNOWN,False,,T3,True,False,False,False,8.177570093457943,55.3,315.605,M,False,False,False,False,False,62.698412698412696,79.36507936507937,70.35714285714286,False,False,False,False,False,False,False,31485.0,VS,85.546875,state_original;major_city;region;distance_to_state_capital
11,26866,,,38.80494367490962,-79.25119514388605,UNKNOWN,False,,T3,False,False,False,False,8.045977011494253,47.4,315.605,M,False,False,False,False,False,80.20833333333334,82.03125,68.29427083333333,False,False,False,False,False,False,False,6043.0,VS,104.76190476190476,state_original;major_city;region;distance_to_state_capital
12,25063,,,38.57761378969733,-80.92571793527974,UNKNOWN,False,,T3,True,False,False,False,3.7422037422037424,53.5,315.605,M,False,False,False,False,False,84.54861111111111,76.73611111111111,78.17708333333334,False,False,False,False,False,False,False,24277.0,VS,117.44186046511628,state_original;major_city;region;distance_to_state_capital
13,767,,El Negro,18.070506029747108,-65.8965799919425,UNKNOWN,True,,T3,True,False,False,False,15.11489960015818,46.9,315.605,L,False,False,False,False,False,79.75901665857997,78.34384602943555,72.32395277373443,False,False,False,False,False,False,True,10399.0,VS,92.26129363449692,state_original;region;distance_to_state_capital
14,49258,,,42.0600043147861,-84.6583320906217,UNKNOWN,False,,T3,True,False,False,False,,29.8,315.605,,False,False,False,False,False,100.0,100.0,85.0,False,False,False,False,False,False,False,45654.0,VS,163.63636363636363,state_original;major_city;region;distance_to_state_capital;literacy_rate;income_bucket
15,82630,,,43.33431886627315,-107.25595534476228,UNKNOWN,False,,T3,True,False,False,False,,-666666666.0,315.605,,False,False,False,False,False,,,10.0,False,False,False,False,False,False,False,79977.0,VS,,state_original;major_city;region;distance_to_state_capital;literacy_rate;income_bucket;internet_penetration_state;smartphone_penetration_state;sex_ratio
16,25565,,,38.10997899973604,-81.96630086402095,UNKNOWN,False,,T3,True,False,False,False,4.25531914893617,54.8,315.605,L,False,False,False,False,False,86.8632707774799,57.37265415549599,67.82573726541555,False,False,False,False,False,False,False,21026.0,VS,119.88636363636364,state_original;major_city;region;distance_to_state_capital
17,25043,WV,Clay,38.44092677674928,-80.98981168593741,S,False,56.92686267716438,T3,True,False,False,False,14.634146341463412,30.9,315.605,,False,False,False,False,False,84.50363196125909,84.01937046004842,73.20823244552058,False,False,False,False,False,False,False,24277.0,VS,112.59124087591242,income_bucket
18,68440,NE,Steele City,40.0526588518008,-97.0116811867812,MW,False,88.5642751973055,T3,False,False,False,False,20.212765957446805,68.4,315.605,,False,False,False,False,False,45.0,68.33333333333333,41.91666666666666,False,False,False,False,False,False,False,5533.0,VS,78.68852459016394,income_bucket
19,68183,NE,Omaha,41.25709470966424,-95.93977160102057,MW,False,80.7807229317543,T2,True,False,False,False,,-666666666.0,315.605,,True,True,True,False,True,,,10.0,True,False,True,False,False,True,False,590736.0,M,,literacy_rate;income_bucket;internet_penetration_state;smartphone_penetration_state;sex_ratio
