postal_code,name
00501,NEW YORK
00544,NEW YORK
00601,PUERTO RICO
00602,PUERTO RICO
00603,PUERTO RICO
00604,PUERTO RICO
00605,PUERTO RICO
00606,PUERTO RICO
00610,PUERTO RICO
00611,PUERTO RICO
00612,PUERTO RICO
00613,PUERTO RICO
00614,PUERTO RICO
00616,PUERTO RICO
00617,PUERTO RICO
00622,PUERTO RICO
00623,PUERTO RICO
00624,PUERTO RICO
00627,PUERTO RICO
00631,PUERTO RICO
00637,PUERTO RICO
00638,PUERTO RICO
00641,PUERTO RICO
00646,PUERTO RICO
00647,PUERTO RICO
00650,PUERTO RICO
00652,PUERTO RICO
00653,PUERTO RICO
00656,PUERTO RICO
00659,PUERTO RICO
00660,PUERTO RICO
00662,PUERTO RICO
00664,PUERTO RICO
00667,PUERTO RICO
00669,PUERTO RICO
00670,PUERTO RICO
00674,PUERTO RICO
00676,PUERTO RICO
00677,PUERTO RICO
00678,PUERTO RICO
00680,PUERTO RICO
00681,PUERTO RICO
00682,PUERTO RICO
00683,PUERTO RICO
00685,PUERTO RICO
00687,PUERTO RICO
00688,PUERTO RICO
00690,PUERTO RICO
00692,PUERTO RICO
00693,PUERTO RICO
00694,PUERTO RICO
00698,PUERTO RICO
00703,PUERTO RICO
00704,PUERTO RICO
00705,PUERTO RICO
00707,PUERTO RICO
00714,PUERTO RICO
00715,PUERTO RICO
00716,PUERTO RICO
00717,PUERTO RICO
00718,PUERTO RICO
00719,PUERTO RICO
00720,PUERTO RICO
00721,PUERTO RICO
00723,PUERTO RICO
00725,PUERTO RICO
00726,PUERTO RICO
00727,PUERTO RICO
00728,PUERTO RICO
00729,PUERTO RICO
00730,PUERTO RICO
00731,PUERTO RICO
00732,PUERTO RICO
00733,PUERTO RICO
00734,PUERTO RICO
00735,PUERTO RICO
00736,PUERTO RICO
00737,PUERTO RICO
00738,PUERTO RICO
00739,PUERTO RICO
00740,PUERTO RICO
00741,PUERTO RICO
00742,PUERTO RICO
00744,PUERTO RICO
00745,PUERTO RICO
00751,PUERTO RICO
00754,PUERTO RICO
00757,PUERTO RICO
00765,PUERTO RICO
00766,PUERTO RICO
00767,PUERTO RICO
00769,PUERTO RICO
00771,PUERTO RICO
00772,PUERTO RICO
00773,PUERTO RICO
00775,PUERTO RICO
00777,PUERTO RICO
00778,PUERTO RICO
00780,PUERTO RICO
00782,PUERTO RICO
00783,PUERTO RICO
00784,PUERTO RICO
00785,PUERTO RICO
00786,PUERTO RICO
00791,PUERTO RICO
00792,PUERTO RICO
00794,PUERTO RICO
00795,PUERTO RICO
00801,PUERTO RICO
00802,PUERTO RICO
00803,PUERTO RICO
00804,PUERTO RICO
00805,PUERTO RICO
00820,PUERTO RICO
00821,PUERTO RICO
00822,PUERTO RICO
00823,PUERTO RICO
00824,PUERTO RICO
00830,PUERTO RICO
00831,PUERTO RICO
00840,PUERTO RICO
00841,PUERTO RICO
00850,PUERTO RICO
00851,PUERTO RICO
00901,PUERTO RICO
00902,PUERTO RICO
00906,PUERTO RICO
00907,PUERTO RICO
00908,PUERTO RICO
00909,PUERTO RICO
00910,PUERTO RICO
00911,PUERTO RICO
00912,PUERTO RICO
00913,PUERTO RICO
00914,PUERTO RICO
00915,PUERTO RICO
00916,PUERTO RICO
00917,PUERTO RICO
00918,PUERTO RICO
00919,PUERTO RICO
00920,PUERTO RICO
00921,PUERTO RICO
00922,PUERTO RICO
00923,PUERTO RICO
00924,PUERTO RICO
00925,PUERTO RICO
00926,PUERTO RICO
00927,PUERTO RICO
00928,PUERTO RICO
00929,PUERTO RICO
00931,PUERTO RICO
00933,PUERTO RICO
00934,PUERTO RICO
00935,PUERTO RICO
00936,PUERTO RICO
00937,PUERTO RICO
00939,PUERTO RICO
00940,PUERTO RICO
00949,PUERTO RICO
00950,PUERTO RICO
00951,PUERTO RICO
00952,PUERTO RICO
00953,PUERTO RICO
00954,PUERTO RICO
00955,PUERTO RICO
00956,PUERTO RICO
00957,PUERTO RICO
