zip_code,city,state,county,county_fips,latitude,longitude,timezone,metro_area,population,median_household_income,median_age,households,avg_household_size,bachelors_or_higher_pct,median_home_value,median_gross_rent,poverty_rate_pct,unemployment_rate_pct,primary_language
00601,Adjuntas,PR,Adjuntas,72001,18.18004,-66.75218,America/Puerto_Rico,,18570,,,,,,,,,,
00602,Aguada,PR,Aguada,72003,18.36073,-67.17517,America/Puerto_Rico,,41520,,,,,,,,,,
00603,Aguadilla,PR,Aguadilla,72005,18.45439,-67.12202,America/Puerto_Rico,,54689,,,,,,,,,,
00606,Maricao,PR,Maricao,72093,18.16724,-66.93828,America/Puerto_Rico,,6615,,,,,,,,,,
00610,Anasco,PR,Añasco,72011,18.29032,-67.12243,America/Puerto_Rico,,29016,,,,,,,,,,
00612,Arecibo,PR,Arecibo,72013,18.40699,-66.70803,America/Puerto_Rico,,63312,22305,44.4,23286,2.68,28.2,107800,474,43.3,18,
00616,Bajadero,PR,Arecibo,72013,18.41753,-66.66814,America/Puerto_Rico,,11017,,,,,,,,,,
00617,Barceloneta,PR,Barceloneta,72017,18.44124,-66.55917,America/Puerto_Rico,,24597,,,,,,,,,,
00622,Boqueron,PR,Cabo Rojo,72023,17.99174,-67.15248,America/Puerto_Rico,,7853,,,,,,,,,,
00623,Cabo Rojo,PR,Cabo Rojo,72023,18.08355,-67.15417,America/Puerto_Rico,,43061,,,,,,,,,,
00624,Penuelas,PR,Peñuelas,72111,18.06465,-66.71823,America/Puerto_Rico,,26241,,,,,,,,,,
00627,Camuy,PR,Camuy,72027,18.419,-66.86033,America/Puerto_Rico,,35159,,,,,,,,,,
00631,Castaner,PR,Lares,72081,18.18555,-66.83327,America/Puerto_Rico,,1852,,,,,,,,,,
00637,Sabana Grande,PR,Sabana Grande,72121,18.07982,-66.94274,America/Puerto_Rico,,25287,,,,,,,,,,
00638,Ciales,PR,Ciales,72039,18.28904,-66.5151,America/Puerto_Rico,,18941,,,,,,,,,,
00641,Utuado,PR,Utuado,72141,18.26408,-66.71376,America/Puerto_Rico,,31191,,,,,,,,,,
00646,Dorado,PR,Dorado,72051,18.43401,-66.2833,America/Puerto_Rico,,38199,,,,,,,,,,
00647,Ensenada,PR,Guánica,72055,17.96612,-66.94383,America/Puerto_Rico,,6172,,,,,,,,,,
00650,Florida,PR,Florida,72054,18.34321,-66.58601,America/Puerto_Rico,,14998,,,,,,,,,,
00652,Garrochales,PR,Arecibo,72013,18.45542,-66.60635,America/Puerto_Rico,,4715,,,,,,,,,,
00653,Guanica,PR,Guánica,72055,17.98574,-66.89033,America/Puerto_Rico,,13307,,,,,,,,,,
00656,Guayanilla,PR,Guayanilla,72059,18.0528,-66.79182,America/Puerto_Rico,,21481,,,,,,,,,,
00659,Hatillo,PR,Hatillo,72065,18.41069,-66.79648,America/Puerto_Rico,,41953,,,,,,,,,,
00660,Hormigueros,PR,Hormigueros,72067,18.13418,-67.11402,America/Puerto_Rico,,17250,,,,,,,,,,
00662,Isabela,PR,Isabela,72071,18.46208,-67.01445,America/Puerto_Rico,,43282,,,,,,,,,,
00664,Jayuya,PR,Jayuya,72073,18.21152,-66.5889,America/Puerto_Rico,,16784,,,,,,,,,,
00667,Lajas,PR,Lajas,72079,18.01227,-67.04089,America/Puerto_Rico,,25968,,,,,,,,,,
00669,Lares,PR,Lares,72081,18.27102,-66.86982,America/Puerto_Rico,,29744,,,,,,,,,,
00670,Las Marias,PR,Las Marías,72083,18.23777,-66.98877,America/Puerto_Rico,,9807,,,,,,,,,,
00674,Manati,PR,Manatí,72091,18.42123,-66.49004,America/Puerto_Rico,,44457,,,,,,,,,,
00676,Moca,PR,Moca,72099,18.3779,-67.08083,America/Puerto_Rico,,40316,,,,,,,,,,
00677,Rincon,PR,Rincón,72117,18.3357,-67.23168,America/Puerto_Rico,,15272,,,,,,,,,,
00678,Quebradillas,PR,Quebradillas,72115,18.43269,-66.92812,America/Puerto_Rico,,27819,,,,,,,,,,
00680,Mayaguez,PR,Mayagüez,72097,18.16327,-67.36195,America/Puerto_Rico,,58140,,,,,,,,,,
00682,Mayaguez,PR,Mayagüez,72097,18.22117,-67.1538,America/Puerto_Rico,,32615,,,,,,,,,,
00683,San German,PR,San Germán,72125,18.10998,-67.0373,America/Puerto_Rico,,33772,,,,,,,,,,
00685,San Sebastian,PR,San Sebastián,72131,18.33625,-66.97225,America/Puerto_Rico,,42831,,,,,,,,,,
00687,Morovis,PR,Morovis,72101,18.31708,-66.4203,America/Puerto_Rico,,32610,,,,,,,,,,
00688,Sabana Hoyos,PR,Arecibo,72013,18.38056,-66.62425,America/Puerto_Rico,,13543,,,,,,,,,,
00690,San Antonio,PR,Aguadilla,72005,18.49567,-67.09825,America/Puerto_Rico,,6255,,,,,,,,,,
00692,Vega Alta,PR,Vega Alta,72143,18.40845,-66.33691,America/Puerto_Rico,,37511,,,,,,,,,,
00693,Vega Baja,PR,Vega Baja,72145,18.42132,-66.40012,America/Puerto_Rico,,61038,,,,,,,,,,
00694,Vega Baja,PR,Vega Baja,72145,18.48329,-66.39261,America/Puerto_Rico,,328,,,,,,,,,,
00698,Yauco,PR,Yauco,72153,18.06728,-66.85273,America/Puerto_Rico,,41782,,,,,,,,,,
00703,Aguas Buenas,PR,Aguas Buenas,72007,18.24841,-66.13119,America/Puerto_Rico,,28605,,,,,,,,,,
00704,Aguirre,PR,Salinas,72123,17.96719,-66.22017,America/Puerto_Rico,,8577,,,,,,,,,,
00705,Aibonito,PR,Aibonito,72009,18.12946,-66.26477,America/Puerto_Rico,,25598,,,,,,,,,,
00707,Maunabo,PR,Maunabo,72095,18.01814,-65.92201,America/Puerto_Rico,,12225,,,,,,,,,,
00714,Arroyo,PR,Arroyo,72015,17.99854,-66.05606,America/Puerto_Rico,,19566,,,,,,,,,,
00715,Mercedita,PR,Ponce,72113,18.01172,-66.55985,America/Puerto_Rico,,3656,,,,,,,,,,
00716,Ponce,PR,Ponce,72113,17.9994,-66.60007,America/Puerto_Rico,,33779,,,,,,,,,,
00717,Ponce,PR,Ponce,72113,18.00333,-66.61331,America/Puerto_Rico,,18457,,,,,,,,,,
00718,Naguabo,PR,Naguabo,72103,18.2333,-65.76108,America/Puerto_Rico,,26606,,,,,,,,,,
00719,Naranjito,PR,Naranjito,72105,18.2888,-66.25336,America/Puerto_Rico,,30990,,,,,,,,,,
00720,Orocovis,PR,Orocovis,72107,18.21772,-66.42817,America/Puerto_Rico,,23129,,,,,,,,,,
00723,Patillas,PR,Patillas,72109,18.03237,-66.01233,America/Puerto_Rico,,19277,,,,,,,,,,
